Episode,Loss
1,28331.338256835938
2,28920.645851135254
3,25314.727012634277
4,41602.52730560303
5,48353.00286102295
6,55506.68576049805
7,74640.03960418701
8,102466.85710144043
9,109210.46099853516
10,132120.09465026855
11,140730.04121398926
12,171190.34634399414
13,178890.5539855957
14,188852.51832580566
15,198145.3775024414
16,207472.56201171875
17,247852.48867797852
18,262842.74240112305
19,266543.9611816406
20,304310.49688720703
21,306446.1494140625
22,361732.00259399414
23,1028004.3797607422
24,1509754.5733032227
25,1709254.2078857422
26,1932430.6457519531
27,1715128.6690673828
28,2119613.3149414062
29,2277611.0310058594
30,2320573.957763672
31,2713047.5654296875
32,2975019.6580810547
33,3703652.5883789062
34,3872626.4213867188
35,3627541.4052734375
36,4071167.923461914
37,3939754.0369873047
38,4256656.8828125
39,4287204.665283203
40,5071206.676269531
41,5088780.950500488
42,5876949.737792969
43,6967807.335205078
44,8151728.223266602
45,9793555.915039062
46,10486239.661132812
47,10710239.224121094
48,10374404.947265625
49,10578563.948486328
50,10976825.142578125
51,11296455.153320312
52,10692647.607421875
53,10141123.606933594
54,10991934.122070312
55,12545590.676269531
56,13686947.154296875
57,14442821.404296875
58,16063890.778808594
59,16342819.6171875
60,19351127.849121094
61,19102318.770507812
62,20391765.334960938
63,23139414.370117188
64,25156489.1171875
65,28167294.50390625
66,26683419.889648438
67,25950489.68359375
68,25287387.326171875
69,31020098.845703125
70,33569859.2421875
71,35795936.806640625
72,38076808.2109375
73,35646022.1796875
74,39352739.0859375
75,39164957.302734375
76,37301024.560546875
77,34888463.71484375
78,32278082.181640625
79,29869211.2734375
80,30074847.642578125
81,26916357.23828125
82,23958850.446289062
83,23607517.466796875
84,25195480.228515625
85,22256134.5234375
86,22656473.697265625
87,22660706.767578125
88,20698429.701171875
89,22093216.780273438
90,19983008.072265625
91,20487259.569335938
92,21155802.366210938
93,20280366.791015625
94,20374623.555664062
95,20198109.01953125
96,20590337.3125
97,19650960.73828125
98,17983086.326171875
99,18741028.443359375
100,17048619.19140625
101,17806499.438476562
102,16844999.938476562
103,15819540.662109375
104,15611180.291992188
105,15814611.19921875
106,15384078.584960938
107,14331775.889648438
108,15062554.322265625
109,14935295.5859375
110,15744272.3984375
111,16127677.9765625
112,16884647.078125
113,17913666.779296875
114,17356863.603515625
115,17619355.853515625
116,17559541.908203125
117,17232512.158203125
118,17714726.354492188
119,17476727.701171875
120,17260440.8203125
121,17834970.349609375
122,20256124.671875
123,20105371.935546875
124,19527978.669921875
125,18874256.673828125
126,21099111.546875
127,23350151.078125
128,23416793.44921875
129,23565189.955078125
130,23391765.05078125
131,23881043.513671875
132,26649255.923828125
133,27066037.06640625
134,28041133.77734375
135,28175813.232421875
136,29384872.94921875
137,32129400.0859375
138,32243745.984375
139,34862920.22265625
140,36414166.943359375
141,37139171.49609375
142,39778721.12109375
143,39910382.08984375
144,38102738.125
145,37567068.3828125
146,38646652.58984375
147,42962726.748046875
148,44280690.26953125
149,42126301.03515625
150,43602953.6015625
151,42701750.33984375
152,43723017.0546875
153,43445562.48046875
154,42710818.96484375
155,42569966.3125
156,41710441.5078125
157,42134290.83203125
158,43430507.55078125
159,42019328.8125
160,39839146.3203125
161,41088350.8359375
162,43327335.62890625
163,41017991.91015625
164,39898723.8984375
165,46539753.30859375
166,44809687.05859375
167,45422915.01953125
168,45098463.087890625
169,42572845.04296875
170,43265752.828125
171,41490968.80078125
172,40058601.85546875
173,40846375.46875
174,38208704.25390625
175,39507839.296875
176,38303841.01171875
177,38378625.91015625
178,39925083.2890625
179,37660955.7265625
180,37536737.41015625
181,36454544.515625
182,36176160.1875
183,35445730.91796875
184,34026341.0078125
185,32945713.4375
186,34232231.9921875
187,33121720.7109375
188,29675092.037109375
189,29599063.13671875
190,30653755.02734375
191,30831545.57421875
192,30088888.015625
