Episode,Total Reward
1,-11960
2,-11770
3,-11700
4,-12115
5,-11855
6,-11490
7,-11505
8,-11185
9,-11315
10,-11760
11,-11800
12,-11345
13,-11770
14,-12110
15,-11075
16,-11640
17,-11175
18,-11290
19,-11805
20,-10970
21,-12085
22,-10975
23,15265
24,-12795
25,-10540
26,-11260
27,-11905
28,-13275
29,-12015
30,-12455
31,-11365
32,-13355
33,-10565
34,-10355
35,-11000
36,-10860
37,-11290
38,-11035
39,-12600
40,-10860
41,-10785
42,18980
43,-11040
44,-11350
45,-15895
46,-11545
47,-12790
48,-12215
49,-9480
50,-11500
51,-11125
52,-11060
53,-11405
54,-12895
55,-10750
56,-12035
57,-11875
58,-10685
59,-11495
60,-11460
61,-11335
62,-11960
63,-13365
64,4595
65,-11665
66,-12185
67,-11105
68,-13295
69,-14890
70,4165
71,-13460
72,-12390
73,-12025
74,-5780
75,5305
76,-12435
77,-11920
78,-13705
79,-11425
80,-11350
81,-11550
82,-11730
83,-13780
84,-12070
85,-12935
86,-7535
87,-11780
88,-13245
89,-14570
90,-11310
91,-15330
92,-4920
93,-12780
94,-14415
95,-11830
96,-16475
97,-15505
98,-15455
99,-6600
100,-12720
101,36470
102,-12555
103,-755
104,8535
105,-16520
106,-14580
107,-13310
108,-10630
109,8795
110,15310
111,-16445
112,-14855
113,1760
114,-16015
115,-14290
116,-16095
117,-15790
118,-13270
119,-16960
120,-14510
121,-15230
122,14250
123,-13285
124,-13660
125,-14875
126,-13825
127,230
128,-15355
129,-6880
130,-14425
131,-9175
132,4270
133,-14825
134,-15540
135,-445
136,1180
137,-16655
138,-135
139,-13675
140,455
141,-12625
142,-16695
143,-1345
144,-11430
145,-12345
146,-12245
147,7725
148,-3505
149,10140
150,-14695
151,-12255
152,-13905
153,-14790
154,-12110
155,6020
156,-11840
157,-12515
158,-15135
159,-16240
160,-16195
161,7495
162,-15605
163,-16235
164,-10815
165,1265
166,-16230
167,-12830
168,-16550
169,-2115
170,-15515
171,-8050
172,-16480
173,-10595
174,-11225
175,-14330
176,-15420
177,-13535
178,-12425
179,8295
180,-11885
181,-12410
182,-8190
183,-13380
184,10510
185,-11370
186,-12300
187,-12770
188,-10675
189,-16455
190,-11950
191,-10270
192,-11595
193,-10485
194,-10875
195,7485
196,-11965
197,2680
198,-9880
199,14860
200,-11640
201,-11175
202,-12850
203,-11880
204,-15470
205,15
206,-13950
207,3865
208,-10265
209,-15465
210,-11470
211,-10965
212,-11590
213,-4645
214,-8465
215,870
216,-13145
217,-11145
218,-11805
219,-10990
220,-12610
221,-10830
222,-11290
223,-13255
224,-9565
225,-17490
226,-11115
227,-11745
228,-15065
229,-11205
230,-12150
231,-12980
232,-10755
233,-16440
234,25120
235,-10895
236,-8880
237,-11190
238,-11120
239,-10945
240,-4965
241,47895
242,-14675
243,-15380
244,-11730
245,-6000
246,-14965
247,-11015
248,-14225
249,-5795
250,-13900
251,-12300
252,-12615
253,-3395
254,-12295
255,-10920
256,-11145
257,-10580
258,-11440
259,-10015
260,3800
261,-10055
262,-920
263,-11180
264,-11685
265,-1925
266,-11290
267,-14265
268,-11690
269,-13725
270,-12590
271,-11415
272,-9930
273,10450
274,16270
275,4090
276,-12015
277,-16740
278,-15665
279,-8990
280,-10985
281,-16745
282,-9955
283,-10680
284,-11220
285,-14865
286,-10290
287,-7145
288,-9945
289,-9705
290,-11360
291,-5060
292,-13500
293,-6275
294,-11230
295,-12465
296,2370
297,-11395
298,-11105
299,-10195
300,-8700
301,-12510
302,-13610
303,-10905
304,-16090
305,1710
306,-1440
307,-12585
308,-9945
309,-13600
310,-16275
311,-9840
312,-7365
313,-10875
314,-12330
315,-10535
316,795
317,-15160
318,-1455
319,-15120
320,-11720
321,-16325
322,52545
323,-10775
324,3985
325,14575
326,-15820
327,4620
328,-13770
329,12135
330,2605
331,-11640
332,-14030
333,-12075
334,-7315
335,-11155
336,-10475
337,-8630
338,-10105
339,225
340,11980
341,-11170
342,1100
343,-4040
344,-10805
345,-12800
346,-16510
347,3370
348,6670
349,-11295
350,-11180
351,-12710
352,-11115
353,-12495
354,-13680
355,-11885
356,-10790
357,9670
358,-11340
359,-15260
360,-13185
361,-11530
362,-12540
363,4715
364,-9615
365,-11690
366,-12445
367,-10495
368,-14680
369,-13435
370,-13680
371,-10780
372,-9860
373,37420
374,-11100
375,-14175
376,-11185
377,8555
378,-11395
379,-13510
380,-11410
381,-10625
382,-14655
383,-3845
384,3925
385,670
386,-11285
387,-11015
388,-11685
389,-11175
390,18735
391,9290
392,-13750
393,-13625
394,-11020
395,-13355
396,18470
397,-10635
398,-10915
399,-13305
400,-9795
401,-11075
402,-14545
403,-10165
404,-11385
405,4850
406,-13620
407,-11240
408,-10035
409,-12545
410,-13440
411,-14825
412,-10755
413,-11425
414,-9265
415,-10275
416,-12620
417,-10660
418,35560
419,-10260
420,-11455
421,-11745
422,-14225
423,-13155
424,-13540
425,-11025
426,-13560
427,-11025
428,-12225
429,-13575
430,-4360
431,-12025
432,-14740
433,-16110
434,-9295
435,-2895
436,-12785
437,-9110
438,385
439,-12255
440,-12245
441,-9315
442,-6330
443,-13055
444,-16060
445,-14100
446,-10955
447,-170
448,-10950
449,-10410
450,-12030
451,-15570
452,1135
453,-16135
454,-14780
455,-9175
456,-10785
457,-2010
458,-9600
459,-14850
460,-10305
461,-12600
462,-11445
463,130
464,-6145
465,-11505
466,-16495
467,-2285
468,-6795
469,-11510
470,6045
471,-13225
472,-6170
473,-9250
474,-11510
475,50640
476,-9885
477,925
478,-7665
479,-8510
480,-8840
481,-11035
482,-11175
483,-10610
484,-13835
485,-14230
486,-10375
487,-15695
488,-11360
489,-12045
490,-200
491,8135
492,-9225
493,-10070
494,-10475
495,-8105
496,-10805
497,-10295
498,-9285
499,-10170
500,-10260
501,31685
502,-11940
503,21885
504,-12975
505,-14025
506,7685
507,-10630
508,-11675
509,-725
510,-16690
511,660
512,-6025
513,-9405
514,-11640
515,-11385
516,-10550
517,-8745
518,-1195
519,-10550
520,-10660
521,-12970
522,-11225
523,-9810
524,-10135
525,26810
526,-11290
527,-10105
528,-10635
529,-115
530,11105
531,-985
532,-125
533,-11530
534,-16480
535,-10685
536,-13100
537,-16360
538,-12040
539,-13985
540,-10955
541,-11115
542,-11705
543,-10610
544,35330
545,21825
546,-14265
547,-7990
548,-9725
549,1930
550,-15190
551,-15475
552,-13895
