Episode,Total Reward
1,-40
2,360
3,200
4,-720
5,-240
6,300
7,220
8,340
9,150
10,-90
11,120
12,-90
13,320
14,240
15,330
16,90
17,350
18,380
19,170
20,150
21,350
22,340
23,470
24,340
25,250
26,270
27,-10
28,360
29,450
30,-290
31,-410
32,320
33,-420
34,-410
35,170
36,-1110
37,210
38,260
39,-80
40,-190
41,200
42,-70
43,0
44,-110
45,140
46,270
47,30
48,230
49,-80
50,40
51,-220
52,200
53,390
54,200
55,-110
56,120
57,-160
58,-740
59,100
60,110
61,200
62,-1420
63,-60
64,-1200
65,-330
66,-690
67,-70
68,-220
69,-1110
70,-40
71,-70
72,80
73,160
74,120
75,180
76,370
77,0
78,-180
79,-160
80,160
81,230
82,-160
83,70
84,260
85,290
86,320
87,70
88,490
89,320
90,290
91,340
92,-90
93,100
94,260
95,230
96,300
97,280
98,110
99,350
100,350
