Episode,Step,d1p,d2p,d3p,A,B,CRI,x,y,Reward,Action
1,1,26.0,10.0,23.0,92.13801721117211,3.437025355209111,98.49180722145067,0.3209796838998597,0.3372473836448257,-5,"['d3', 'forward']"
1,2,26.0,10.0,24.0,91.99723158539827,3.454639361312162,98.23609546471162,0.32119432144477233,0.33687813936555555,-5,"['d3', 'forward']"
1,3,27.0,10.0,24.0,91.67890258471012,3.502335387394492,97.96897286090952,0.32147052794952397,0.3365472753826799,-5,"['d1', 'forward']"
1,4,27.0,10.0,25.0,91.52783821951648,3.5217333683409984,97.70418734330384,0.3215251953468064,0.33603287165835044,-5,"['d3', 'forward']"
1,5,28.0,10.0,25.0,91.19930969086299,3.568940383439376,97.4297328183808,0.3216376588461278,0.33555760756900743,-5,"['d1', 'forward']"
1,6,27.0,10.0,25.0,91.52783821951648,3.5217333683409984,97.70418734330384,0.3215251953468064,0.33603287165835044,5,"['d1', 'backward']"
1,7,27.0,10.0,24.0,91.67890258471012,3.502335387394492,97.96897286090952,0.32147052794952397,0.3365472753826799,5,"['d3', 'backward']"
1,8,27.0,10.0,23.0,91.79379617048508,3.4832670598251743,98.22866305428818,0.32136645999216523,0.3370152119206282,5,"['d3', 'backward']"
1,9,27.0,11.0,23.0,92.50591657448288,3.6325177883843276,99.08806892090641,0.318148802261309,0.3357616965920982,5,"['d2', 'forward']"
1,10,27.0,11.0,22.0,92.45257227146246,3.614015462107121,99.33285883278063,0.31785103931078657,0.3360805657558232,-5,"['d3', 'backward']"
1,11,28.0,11.0,22.0,92.1392599799277,3.659713801751476,99.07294171543676,0.31848540082330196,0.3360315330431671,-5,"['d1', 'forward']"
1,12,28.0,12.0,22.0,92.20123513248669,3.7969957739144404,97.90622563351906,0.31476019035296127,0.3344069392880377,5,"['d2', 'forward']"
1,13,28.0,13.0,22.0,91.6555592597145,3.921029207498141,97.94711899140965,0.310543171589898,0.33235099621528463,-5,"['d2', 'forward']"
1,14,27.0,13.0,22.0,91.72464759630068,3.8711410289143116,97.9402415401624,0.3095149658198759,0.33204602619072265,5,"['d1', 'backward']"
1,15,27.0,12.0,22.0,92.39753103146097,3.7491195351119746,97.9676307600887,0.3139271343074343,0.3342896220428375,5,"['d2', 'backward']"
1,16,27.0,12.0,23.0,92.59247609868473,3.7675912029313023,97.91018200784428,0.3143678235105669,0.3340863857117851,5,"['d3', 'forward']"
1,17,27.0,13.0,23.0,92.06600202514652,3.889574312437308,97.95139317835354,0.31009198275215727,0.33197232699817975,-5,"['d2', 'forward']"
1,18,27.0,13.0,22.0,91.72464759630068,3.8711410289143116,97.9402415401624,0.3095149658198759,0.33204602619072265,-5,"['d3', 'backward']"
1,19,27.0,13.0,21.0,91.32684781164522,3.8526733404945332,97.91483264014452,0.3089120467149538,0.33207453327915615,-5,"['d3', 'backward']"
1,20,27.0,13.0,20.0,90.87506162578313,3.8343976467334144,97.87925147145414,0.30828532317039564,0.3320572180269888,-5,"['d3', 'backward']"
1,21,27.0,13.0,21.0,91.32684781164522,3.8526733404945332,97.91483264014452,0.3089120467149538,0.33207453327915615,5,"['d3', 'forward']"
1,22,27.0,13.0,22.0,91.72464759630068,3.8711410289143116,97.9402415401624,0.3095149658198759,0.33204602619072265,5,"['d3', 'forward']"
1,23,27.0,13.0,23.0,92.06600202514652,3.889574312437308,97.95139317835354,0.31009198275215727,0.33197232699817975,5,"['d3', 'forward']"
1,24,26.0,13.0,23.0,92.04435233155742,3.8359781179331467,97.94367980811023,0.3091459260384227,0.3317298249393784,-5,"['d1', 'backward']"
1,25,26.0,12.0,23.0,92.70362778455372,3.716279384190296,97.970806158242,0.3136057351263508,0.3340224102334495,5,"['d2', 'backward']"
1,26,27.0,12.0,23.0,92.59247609868473,3.7675912029313023,97.91018200784428,0.3143678235105669,0.3340863857117851,-5,"['d1', 'forward']"
1,27,26.0,12.0,23.0,92.70362778455372,3.716279384190296,97.970806158242,0.3136057351263508,0.3340224102334495,5,"['d1', 'backward']"
1,28,26.0,13.0,23.0,92.04435233155742,3.8359781179331467,97.94367980811023,0.3091459260384227,0.3317298249393784,-5,"['d2', 'forward']"
