d1,d2,d3,d4,d5,d6,d7,AVT,Jph,CRI,x,y,w_avt,w_jph
25.9527,6.1529,47.0298,212.3427,5.0000,5.0000,100.0000,0.0967,41.9212,37.2137,0.2001,0.3474,0.0100,0.9900
25.7467,5.0000,69.9756,188.0459,49.8781,5.0000,26.3456,7.0747,39.1045,71.7529,0.2899,0.3679,0.1189,0.8811
34.9432,10.8776,21.3002,66.3768,5.0000,6.6901,21.1604,16.5663,36.3455,87.2614,0.2841,0.3389,0.2278,0.7722
32.7841,10.2652,41.0482,51.5341,5.0000,5.0000,17.9083,23.9936,34.0293,91.8217,0.3002,0.3462,0.3367,0.6633
19.8289,5.0000,40.3160,114.1893,51.1582,5.0000,10.0000,26.3074,29.9789,92.9827,0.3284,0.3497,0.4456,0.5544
30.0580,9.5612,10.0000,50.0000,19.7721,5.0000,13.2469,32.2824,30.1842,93.4925,0.2951,0.3337,0.5544,0.4456
32.9754,7.9155,10.0000,50.0000,21.2479,5.0000,10.1918,37.0029,27.6743,94.7731,0.2939,0.3319,0.6633,0.3367
37.6464,5.0000,10.0000,58.3019,44.9250,5.0000,10.0000,42.2353,22.0893,77.6206,0.3180,0.3884,0.7722,0.2278
8.9981,5.0000,69.6399,50.0000,70.0000,5.0000,10.0000,41.4266,21.1847,73.6661,0.3374,0.3915,0.8811,0.1189
48.2466,6.4055,10.0000,50.0000,41.6707,5.0000,10.0000,43.5017,22.3570,77.5137,0.3361,0.4004,0.9900,0.0100
